w1a,w1b,w1c,w1d,w1e,w1f,w1g,w1h,w1i,w1j,w1k,w1l,w1m,w1n,w1o,w1p,w1q,w1r,w1s,w1t,w1u,w1v,w1w,w1x,w1y,w1z,w1aa,w1ab,w2a,w2b,w2c,w2d,w2e,w2f,w2g,w2h,w2i,w2j,w2k,w2l,w2m,w2n,w2o,w2p,w2q,w2r,w2s,w2t,w2u,w2v,w2w,w2x,w2y,w2z,w2aa,w2ab,class
8,4,0,4,4.09,0,0,0,1,2,0.5,0,9,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,7,2,0,3,4.49,0,1,0,0.666666667,3.5,0.428571429,0,5,-2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
3,1,0,1,4.42,0,0,0,1,3,0.333333333,20,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,2,3.92,0,0,0,0.5,5,0.4,97,4,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
4,1,0,1,4.7,0,0,0,1,4,0.25,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,1,0,1,4.11,0,0,0,1,5,0.2,0,4,-1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2
5,1,0,2,5.06,0,0,0,0.5,5,0.4,85,4,-1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,7,2,0,3,4.09,0,1,0,0.666666667,3.5,0.428571429,0,7,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,2
7,2,0,2,3.87,0,1,0,1,3.5,0.285714286,0,5,-2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,5,1,0,2,4.87,0,0,0,0.5,5,0.4,0,4,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
5,1,0,2,4.34,1,0,0,0.5,5,0.4,0,4,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,4.03,0,0,0,1,3,0.333333333,5,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,2,0,3,5.49,0,0,0,0.666666667,3,0.5,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,1,0,1,4.65,0,0,0,1,3,0.333333333,19,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
5,1,0,2,3.86,0,0,0,0.5,5,0.4,53,5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,5,2,0,2,4.14,0,1,0,1,2.5,0.4,86,5,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1
4,2,0,2,4.26,0,0,0,1,2,0.5,58,5,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,5,1,0,2,4.02,1,0,0,0.5,5,0.4,0,5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2
3,1,0,1,4.77,0,0,0,1,3,0.333333333,10,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,3,0,4,2.92,0,0,1,0.75,2.666666667,0.5,0,9,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,2
5,1,0,2,4.14,0,0,0,0.5,5,0.4,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,1,4.32,0,0,0,1,3,0.333333333,16,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
6,2,0,3,3.99,0,0,0,0.666666667,3,0.5,0,5,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,0,1,4.73,0,1,0,1,4,0.25,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
5,1,0,2,5.7,0,0,0,0.5,5,0.4,47,3,-2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,1,0,1,3.55,0,0,0,1,5,0.2,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
6,2,0,2,4.81,1,0,0,1,3,0.333333333,0,6,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,1,0,1,5.11,0,0,0,1,4,0.25,27,3,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
5,1,0,2,3.93,0,1,0,0.5,5,0.4,0,3,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,3,4.4,1,0,0,0.666666667,3,0.5,0,6,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2
3,1,0,1,4.04,0,0,0,1,3,0.333333333,15,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,2,0,2,4.01,0,0,0,1,3,0.333333333,0,6,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
4,1,0,2,5.51,0,0,0,0.5,4,0.5,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,2,0,3,3.76,0,1,0,0.666666667,3.5,0.428571429,0,6,-1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,2
7,2,0,2,4.76,0,0,0,1,3.5,0.285714286,0,5,-2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,1,0,2,4.46,0,0,0,0.5,4,0.5,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
6,1,0,2,5.57,1,0,0,0.5,6,0.333333333,0,4,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,4.88,0,0,0,1,4,0.25,0,3,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
7,3,0,3,3.68,0,0,0,1,2.333333333,0.428571429,0,7,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,5,1,0,1,4.11,0,0,0,1,5,0.2,0,4,-1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
8,3,0,4,3.86,0,0,1,0.75,2.666666667,0.5,96,9,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,3,1,0,1,5.78,0,0,0,1,3,0.333333333,14,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
4,1,0,1,4.25,0,1,0,1,4,0.25,0,3,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,2,0,2,3.87,0,0,0,1,3,0.333333333,0,5,-1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
5,2,0,2,4.07,0,0,0,1,2.5,0.4,0,4,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,2,0,3,4.93,0,0,1,0.666666667,3,0.5,0,4,-2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
5,1,0,2,5.2,0,1,0,0.5,5,0.4,0,3,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,3,4.23,0,0,0,0.333333333,5,0.6,0,3,-2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
4,1,0,1,4.61,0,0,0,1,4,0.25,81,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,0,2,4.29,0,0,0,0.5,4,0.5,60,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
4,1,0,2,3.83,0,0,0,0.5,4,0.5,63,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,7,2,0,3,4.14,0,1,0,0.666666667,3.5,0.428571429,0,5,-2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
8,3,0,4,4.59,0,0,0,0.75,2.666666667,0.5,0,7,-1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,5,1,0,2,4.61,0,1,0,0.5,5,0.4,0,4,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
4,1,0,1,5.96,0,0,0,1,4,0.25,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,4.31,0,0,0,1,5,0.2,0,4,-1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2
5,1,0,1,3.9,0,0,0,1,5,0.2,0,4,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,2,0,3,4.14,0,1,0,0.666666667,3.5,0.428571429,0,5,-2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
5,1,0,2,4.95,0,0,0,0.5,5,0.4,0,3,-2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4,2,0,2,2.96,0,0,0,1,2,0.5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
4,1,0,1,4.55,0,0,0,1,4,0.25,44,3,-1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1,0,1,4.25,0,1,0,1,4,0.25,0,3,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
5,1,0,2,3.71,0,0,0,0.5,5,0.4,67,3,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,2,5.6,0,0,0,1,3.5,0.285714286,0,6,-1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,2
4,1,0,2,3.55,0,0,0,0.5,4,0.5,0,3,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,1,4.01,0,0,0,1,3,0.333333333,16,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
6,2,0,3,4.38,0,0,0,0.666666667,3,0.5,0,6,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,4,1,0,2,3.63,0,0,0,0.5,4,0.5,76,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
7,2,0,3,4.49,0,1,0,0.666666667,3.5,0.428571429,0,5,-2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,0,1,4.18,0,1,0,1,4,0.25,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,1,0,2,5.58,0,0,0,0.5,4,0.5,65,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,3,1,0,1,5.02,0,0,0,1,3,0.333333333,23,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
7,3,0,3,3.9,0,0,0,1,2.333333333,0.428571429,0,8,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,1,0,1,4.86,0,0,0,1,3,0.333333333,19,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
6,2,0,2,4.93,0,0,0,1,3,0.333333333,0,5,-1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,4,1,0,1,3.82,0,0,0,1,4,0.25,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
6,3,0,3,4.23,0,0,0,1,2,0.5,0,6,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,1,0,1,6.27,0,0,0,1,4,0.25,24,3,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,1,0,1,3.26,0,0,0,1,4,0.25,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,3.61,0,0,0,1,4,0.25,0,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
